==========================================
Job ID: 3165409
Node: gput060
GPU: 0
Experiment: configs/experiment/deeplabv3_dataset83_raw_10k.yaml
Run Name: deeplabv3-raw-10k
Wall time: 7 days
==========================================
Mon Feb 23 14:24:49 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   29C    P0             23W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: deeplabv3
Trainable parameters: 39,635,014
Epoch 38/10000 | train_loss: 0.0638 | miou: 0.7511 | f1_macro: 0.8506 | pixel_accuracy: 0.9137 | img_miou: 0.6861 | img_f1_macro: 0.7703 | img_pixel_accuracy: 0.9137 | val_loss: 0.4300
Epoch 39/10000 | train_loss: 0.0654 | miou: 0.7617 | f1_macro: 0.8573 | pixel_accuracy: 0.9206 | img_miou: 0.6949 | img_f1_macro: 0.7798 | img_pixel_accuracy: 0.9206 | val_loss: 0.3422
Epoch 40/10000 | train_loss: 0.0641 | miou: 0.7581 | f1_macro: 0.8557 | pixel_accuracy: 0.9164 | img_miou: 0.6962 | img_f1_macro: 0.7854 | img_pixel_accuracy: 0.9164 | val_loss: 0.4005
Epoch 41/10000 | train_loss: 0.0626 | miou: 0.7673 | f1_macro: 0.8621 | pixel_accuracy: 0.9201 | img_miou: 0.6975 | img_f1_macro: 0.7821 | img_pixel_accuracy: 0.9201 | val_loss: 0.3705
Epoch 42/10000 | train_loss: 0.0610 | miou: 0.7606 | f1_macro: 0.8571 | pixel_accuracy: 0.9185 | img_miou: 0.6938 | img_f1_macro: 0.7777 | img_pixel_accuracy: 0.9185 | val_loss: 0.3807
Epoch 43/10000 | train_loss: 0.0612 | miou: 0.7629 | f1_macro: 0.8590 | pixel_accuracy: 0.9181 | img_miou: 0.6978 | img_f1_macro: 0.7819 | img_pixel_accuracy: 0.9181 | val_loss: 0.3863
Epoch 44/10000 | train_loss: 0.0588 | miou: 0.7578 | f1_macro: 0.8550 | pixel_accuracy: 0.9174 | img_miou: 0.6996 | img_f1_macro: 0.7866 | img_pixel_accuracy: 0.9174 | val_loss: 0.3808
Epoch 45/10000 | train_loss: 0.0564 | miou: 0.7596 | f1_macro: 0.8566 | pixel_accuracy: 0.9169 | img_miou: 0.6933 | img_f1_macro: 0.7771 | img_pixel_accuracy: 0.9169 | val_loss: 0.4033
Epoch 46/10000 | train_loss: 0.0576 | miou: 0.7491 | f1_macro: 0.8486 | pixel_accuracy: 0.9148 | img_miou: 0.6893 | img_f1_macro: 0.7757 | img_pixel_accuracy: 0.9148 | val_loss: 0.4112
Epoch 47/10000 | train_loss: 0.0577 | miou: 0.7576 | f1_macro: 0.8546 | pixel_accuracy: 0.9181 | img_miou: 0.6942 | img_f1_macro: 0.7771 | img_pixel_accuracy: 0.9181 | val_loss: 0.3874
Epoch 48/10000 | train_loss: 0.0561 | miou: 0.7609 | f1_macro: 0.8579 | pixel_accuracy: 0.9159 | img_miou: 0.7002 | img_f1_macro: 0.7867 | img_pixel_accuracy: 0.9159 | val_loss: 0.4320
Epoch 49/10000 | train_loss: 0.0539 | miou: 0.7551 | f1_macro: 0.8532 | pixel_accuracy: 0.9154 | img_miou: 0.6953 | img_f1_macro: 0.7811 | img_pixel_accuracy: 0.9154 | val_loss: 0.4346
Epoch 50/10000 | train_loss: 0.0550 | miou: 0.7481 | f1_macro: 0.8478 | pixel_accuracy: 0.9139 | img_miou: 0.6883 | img_f1_macro: 0.7738 | img_pixel_accuracy: 0.9139 | val_loss: 0.4346
Epoch 51/10000 | train_loss: 0.0536 | miou: 0.7729 | f1_macro: 0.8663 | pixel_accuracy: 0.9208 | img_miou: 0.7089 | img_f1_macro: 0.7946 | img_pixel_accuracy: 0.9208 | val_loss: 0.4085
Epoch 52/10000 | train_loss: 0.0522 | miou: 0.7554 | f1_macro: 0.8532 | pixel_accuracy: 0.9165 | img_miou: 0.6977 | img_f1_macro: 0.7839 | img_pixel_accuracy: 0.9165 | val_loss: 0.4163
Epoch 53/10000 | train_loss: 0.0533 | miou: 0.7629 | f1_macro: 0.8590 | pixel_accuracy: 0.9182 | img_miou: 0.7038 | img_f1_macro: 0.7882 | img_pixel_accuracy: 0.9182 | val_loss: 0.4049
Epoch 54/10000 | train_loss: 0.0513 | miou: 0.7658 | f1_macro: 0.8609 | pixel_accuracy: 0.9198 | img_miou: 0.7045 | img_f1_macro: 0.7898 | img_pixel_accuracy: 0.9198 | val_loss: 0.3944
Epoch 55/10000 | train_loss: 0.0507 | miou: 0.7661 | f1_macro: 0.8614 | pixel_accuracy: 0.9188 | img_miou: 0.7036 | img_f1_macro: 0.7885 | img_pixel_accuracy: 0.9188 | val_loss: 0.4190
