==========================================
Job ID: 3165408
Node: dgxt001
GPU: 0
Experiment: configs/experiment/unet_dataset83_raw_10k.yaml
Run Name: unet-raw-10k
Wall time: 7 days
==========================================
Mon Feb 23 14:24:47 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:0F:00.0 Off |                    0 |
| N/A   26C    P0             53W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 32/10000 | train_loss: 0.7181 | miou: 0.4417 | f1_macro: 0.5627 | pixel_accuracy: 0.7389 | img_miou: 0.4476 | img_f1_macro: 0.5498 | img_pixel_accuracy: 0.7389 | val_loss: 0.9037
Epoch 33/10000 | train_loss: 0.6999 | miou: 0.4618 | f1_macro: 0.5777 | pixel_accuracy: 0.7735 | img_miou: 0.4636 | img_f1_macro: 0.5661 | img_pixel_accuracy: 0.7735 | val_loss: 0.8812
Epoch 34/10000 | train_loss: 0.6756 | miou: 0.4652 | f1_macro: 0.5870 | pixel_accuracy: 0.7686 | img_miou: 0.4641 | img_f1_macro: 0.5727 | img_pixel_accuracy: 0.7686 | val_loss: 0.8293
Epoch 35/10000 | train_loss: 0.6658 | miou: 0.4655 | f1_macro: 0.5836 | pixel_accuracy: 0.7632 | img_miou: 0.4638 | img_f1_macro: 0.5656 | img_pixel_accuracy: 0.7632 | val_loss: 0.8281
Epoch 36/10000 | train_loss: 0.6316 | miou: 0.4892 | f1_macro: 0.6076 | pixel_accuracy: 0.7835 | img_miou: 0.4874 | img_f1_macro: 0.5919 | img_pixel_accuracy: 0.7835 | val_loss: 0.8492
Epoch 37/10000 | train_loss: 0.5886 | miou: 0.4727 | f1_macro: 0.5958 | pixel_accuracy: 0.7672 | img_miou: 0.4612 | img_f1_macro: 0.5709 | img_pixel_accuracy: 0.7672 | val_loss: 0.8121
Epoch 38/10000 | train_loss: 0.6069 | miou: 0.4802 | f1_macro: 0.6092 | pixel_accuracy: 0.7684 | img_miou: 0.4889 | img_f1_macro: 0.5997 | img_pixel_accuracy: 0.7684 | val_loss: 0.8589
Epoch 39/10000 | train_loss: 0.5912 | miou: 0.5059 | f1_macro: 0.6301 | pixel_accuracy: 0.7888 | img_miou: 0.5077 | img_f1_macro: 0.6225 | img_pixel_accuracy: 0.7888 | val_loss: 0.7902
Epoch 40/10000 | train_loss: 0.5627 | miou: 0.4667 | f1_macro: 0.5846 | pixel_accuracy: 0.7687 | img_miou: 0.4662 | img_f1_macro: 0.5682 | img_pixel_accuracy: 0.7687 | val_loss: 0.7518
Epoch 41/10000 | train_loss: 0.6417 | miou: 0.5153 | f1_macro: 0.6401 | pixel_accuracy: 0.7925 | img_miou: 0.5182 | img_f1_macro: 0.6317 | img_pixel_accuracy: 0.7925 | val_loss: 0.7034
Epoch 42/10000 | train_loss: 0.6368 | miou: 0.4948 | f1_macro: 0.6174 | pixel_accuracy: 0.7794 | img_miou: 0.4921 | img_f1_macro: 0.6015 | img_pixel_accuracy: 0.7794 | val_loss: 0.8749
Epoch 43/10000 | train_loss: 0.5602 | miou: 0.5011 | f1_macro: 0.6264 | pixel_accuracy: 0.7876 | img_miou: 0.5008 | img_f1_macro: 0.6085 | img_pixel_accuracy: 0.7876 | val_loss: 0.7542
Epoch 44/10000 | train_loss: 0.5444 | miou: 0.5129 | f1_macro: 0.6318 | pixel_accuracy: 0.7921 | img_miou: 0.5096 | img_f1_macro: 0.6192 | img_pixel_accuracy: 0.7921 | val_loss: 0.7376
Epoch 45/10000 | train_loss: 0.5587 | miou: 0.5007 | f1_macro: 0.6309 | pixel_accuracy: 0.7777 | img_miou: 0.5178 | img_f1_macro: 0.6284 | img_pixel_accuracy: 0.7777 | val_loss: 0.8036
Epoch 46/10000 | train_loss: 0.5029 | miou: 0.5218 | f1_macro: 0.6451 | pixel_accuracy: 0.7926 | img_miou: 0.5208 | img_f1_macro: 0.6272 | img_pixel_accuracy: 0.7926 | val_loss: 0.7265
Epoch 47/10000 | train_loss: 0.5016 | miou: 0.5292 | f1_macro: 0.6520 | pixel_accuracy: 0.8006 | img_miou: 0.5303 | img_f1_macro: 0.6410 | img_pixel_accuracy: 0.8006 | val_loss: 0.7022
Epoch 48/10000 | train_loss: 0.4576 | miou: 0.5537 | f1_macro: 0.6680 | pixel_accuracy: 0.8218 | img_miou: 0.5510 | img_f1_macro: 0.6551 | img_pixel_accuracy: 0.8218 | val_loss: 0.6337
Epoch 49/10000 | train_loss: 0.4599 | miou: 0.5153 | f1_macro: 0.6372 | pixel_accuracy: 0.7952 | img_miou: 0.5216 | img_f1_macro: 0.6286 | img_pixel_accuracy: 0.7952 | val_loss: 0.7467
Epoch 50/10000 | train_loss: 0.5349 | miou: 0.4621 | f1_macro: 0.5878 | pixel_accuracy: 0.7483 | img_miou: 0.4584 | img_f1_macro: 0.5639 | img_pixel_accuracy: 0.7483 | val_loss: 0.8831
Epoch 51/10000 | train_loss: 0.5568 | miou: 0.5199 | f1_macro: 0.6409 | pixel_accuracy: 0.7961 | img_miou: 0.5192 | img_f1_macro: 0.6286 | img_pixel_accuracy: 0.7961 | val_loss: 0.7330
Epoch 52/10000 | train_loss: 0.4839 | miou: 0.5477 | f1_macro: 0.6628 | pixel_accuracy: 0.8172 | img_miou: 0.5403 | img_f1_macro: 0.6467 | img_pixel_accuracy: 0.8172 | val_loss: 0.6837
Epoch 53/10000 | train_loss: 0.4419 | miou: 0.5435 | f1_macro: 0.6591 | pixel_accuracy: 0.8117 | img_miou: 0.5410 | img_f1_macro: 0.6450 | img_pixel_accuracy: 0.8117 | val_loss: 0.6883
Epoch 54/10000 | train_loss: 0.4080 | miou: 0.5568 | f1_macro: 0.6673 | pixel_accuracy: 0.8266 | img_miou: 0.5462 | img_f1_macro: 0.6461 | img_pixel_accuracy: 0.8266 | val_loss: 0.6630
